AACC,20101105,6.05,6.07,6.03,6.05,65800
AAME,20101105,1.7,1.82,1.7,1.82,4300
AAON,20101105,24.98,25.07,24.9,24.94,28200
AAPL,20101105,317.99,319.57,316.75,317.13,12901800
AATI,20101105,3.82,3.82,3.74,3.79,194600
AAWW,20101105,60.89,61.44,60.5,61.19,272800
AAXJ,20101105,65.4,65.71,65.28,65.56,390300
ABAT,20101105,4.01,4.01,3.95,3.99,656300
ABAX,20101105,25.26,25.49,25.04,25.42,73700
ABBC,20101105,11.75,11.88,11.48,11.53,29700
ABCB,20101105,9.3,9.3,9.06,9.14,42600
ABCD,20101105,3.25,3.25,3.11,3.22,122800
ABCO,20101105,48.75,50.41,46.9,50.37,66300
ABCW,20101105,0.52,0.61,0.52,0.53,83000
ABFS,20101105,25.98,26.27,25.41,25.5,384900
ABIO,20101105,3.96,4,3.88,4,38500
ABMD,20101105,11.94,12,11.69,11.87,122600
ABTL,20101105,0.82,0.84,0.82,0.83,28700
ABVA,20101105,3.09,3.25,3.09,3.25,6200
ACAD,20101105,0.76,0.76,0.7,0.74,341500
ACAS,20101105,7.52,7.72,7.52,7.66,5199800
ACAT,20101105,14.44,14.44,14.04,14.2,51700
ACCL,20101105,8.11,8.21,7.94,8.1,456100
ACET,20101105,8.01,8.04,7.13,7.73,575600
ACFC,20101105,1.69,1.7,1.5,1.6,12300
ACFN,20101105,3.82,4,3.82,3.98,53700
ACGL,20101105,89.76,90.14,89.39,89.92,240900
ACGY,20101105,22.41,22.56,22.25,22.46,86800
ACHN,20101105,3.12,3.2,3.07,3.16,113700
ACIW,20101105,26.96,27.03,26.63,26.8,157000
ACLI,20101105,33.65,33.77,33.45,33.63,28700
ACLS,20101105,2.47,2.63,2.46,2.53,1818800
ACMR,20101105,2.69,2.84,2.37,2.71,158600
ACOM,20101105,25.2,26.6,24.9,26.56,265300
ACOR,20101105,26.67,27.07,26.38,27.04,1415000
ACPW,20101105,1.84,1.89,1.77,1.85,565500
